Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
300,200,800,200.0,462,0
301,80,100,473.0,706,0
302,160,200,338.0,794,0
303,80,1000,394.0,585,0
304,160,800,190.0,684,0
305,120,700,111.0,566,0
306,80,1000,404.0,739,0
307,120,300,289.0,564,0
308,80,100,480.0,718,0
309,120,700,146.0,945,1
310,160,200,387.0,709,0
311,200,400,87.0,559,0
312,120,400,164.0,527,0
313,120,100,494.0,725,0
314,200,300,218.0,540,0
315,80,900,338.0,908,0
316,160,1000,427.0,702,0
317,80,300,334.0,961,0
318,160,900,340.0,404,0
319,80,100,468.0,617,0
320,160,200,336.0,784,0
